Product Name,Product Link
Adistar 3 Berlin Men's Running Shoes - Charcoal,https://www.planetsports.asia/adistar-3-berlin-men-s-running-shoes-charcoal-9.html
Quest 6 Men's Road Running Shoes - Black,https://www.planetsports.asia/quest-6-men-s-road-running-shoes-black-19.html
Kawana 2 Women's Running Shoes - Drizzle / White,https://www.planetsports.asia/kawana-2-women-s-running-shoes-drizzle-white-9.html
TCS NYC Marathon® Fresh Foam X 1080v14 Women's Running Shoes - White/Pink,https://www.planetsports.asia/fresh-foam-x-1080-nycm-women-s-running-shoes-pink-white-6.html
Cloudsurfer Next Women's Running Shoes - Black,https://www.planetsports.asia/cloudsurfer-next-women-s-running-shoes-black-10.html
Gel-Kayano 31 Women's Running Shoes - Black,https://www.planetsports.asia/gel-kayano-31-women-s-running-shoes-black-15.html
Velocity Nitro 3 Women's Running Shoes - Grey,https://www.planetsports.asia/velocity-nitro-3-women-s-running-shoes-grey-8.html
Max Cushioning Arch Fit 2.0 Women's Sneaker - White,https://www.planetsports.asia/skechers-max-cushioning-arch-fit-2-0-women-s-sneaker-white-7.html
Floatride Energy 6 Women's Running Shoes - Washed Clay,https://www.planetsports.asia/floatride-energy-6-women-s-running-shoes-washed-clay-6.html
Fastbreak Pro Men's Sneakers - Egret/Green Envy/White,https://www.planetsports.asia/fastbreak-pro-men-s-sneakers-egret-green-envy-white-3.html
Adizero Boston 12 Women's Running Shoes - Ink,https://www.planetsports.asia/adizero-boston-12-women-s-running-shoes-ink-7.html
Pegasus Plus Men's Road Running Shoes - Grey,https://www.planetsports.asia/pegasus-plus-men-s-road-running-shoes-grey-7.html
Clifton 9 Men's Running Shoes - Oat Milk/Barley,https://www.planetsports.asia/promo/bogo-50-off/hoka-clifton-9-men-s-running-shoes-oat-milk-barley-9.html
Fresh Foam X 1080 v14 Men's Running Shoes - Black,https://www.planetsports.asia/fresh-foam-x-1080-v14-men-s-running-shoes-black-black-8.html
D'Lux Trekker Men's Sneaker - Black,https://www.planetsports.asia/skechers-d-lux-trekker-men-s-sneakers-black-6.html
Novablast 4 Standard Men Running Shoes - BLACK,https://www.planetsports.asia/promo/independence-day-bogo-50-off/asi/asics-novablast-4-standard-men-running-shoes-black-9.html
Deviate Nitro 3 Men's Running Shoes - Black,https://www.planetsports.asia/deviate-nitro-3-men-s-running-shoes-black-18.html
Techamphibian 5 Men Adult Shoes - Black,https://www.planetsports.asia/promo/black-friday-cyber-monday-bogo-50/techamphibian-5-men-adult-shoes-black-8.html
Floatzig 1 Men Running Shoes - White,https://www.planetsports.asia/floatzig-1-men-running-shoes-white-7.html
CTAS Leather Overlay Men's Sneakers - Dark Matter/Black/White,https://www.planetsports.asia/ctas-leather-overlay-men-s-sneakers-dark-matter-black-white-6.html
Adistar 3 Women's Running Shoes - White,https://www.planetsports.asia/adistar-3-women-s-running-shoes-white-6.html?color=7
Adistar 3 Men's Running Shoes - White,https://www.planetsports.asia/adistar-3-men-s-running-shoes-white-9.html?color=7
Adistar 3 Women's Running Shoes -  Sandy Pink,https://www.planetsports.asia/adistar-3-women-s-running-shoes-sandy-pink-7.html?color=85
Adistar 3 Men's Running Shoes - Ftwr White,https://www.planetsports.asia/adistar-3-men-s-running-shoes-ftwr-white-9.html?color=7
Adistar 3 Women's Running Shoes - Ftwr White,https://www.planetsports.asia/adistar-3-women-s-running-shoes-ftwr-white-7.html?color=7
Adizero Boston 12 Men's Running Shoes - Core Black,https://www.planetsports.asia/promo/avengers/non-maa/adidas-adizero-boston-12-men-s-running-shoes-core-black-16.html?color=294
Adizero Boston 12 Women's Running Shoes - Black,https://www.planetsports.asia/adizero-boston-12-women-s-running-shoes-black-7.html?color=294
Adizero Boston 12 Men's Running Shoes - Black,https://www.planetsports.asia/adizero-boston-12-men-s-running-shoes-black-9.html?color=294
Adizero Boston 12 Men's Running Shoes - Core Black,https://www.planetsports.asia/promo/cny-bogo-50-bogo-30/bogo-30-non-maa/adidas-adizero-boston-12-men-s-running-shoes-core-black-9.html?color=294
Adizero Boston 12 Men's Running Shoes - Ftwr White,https://www.planetsports.asia/promo/cny-bogo-50-bogo-30/bogo-30-non-maa/adidas-adizero-boston-12-men-s-running-shoes-ftwr-white-20.html?color=7
Adizero Adios 8 Mens' Running Shoes - Ftwr White,https://www.planetsports.asia/adizero-adios-8-mens-running-shoes-ftwr-white-9.html?color=7
Adizero SL 2 Men's Running Shoes - Ftwr White,https://www.planetsports.asia/adizero-sl-2-men-s-running-shoes-ftwr-white-10.html?color=7
Adizero SL 2 Women's Running Shoes - Putty Mauve,https://www.planetsports.asia/adizero-sl-2-women-s-running-shoes-putty-mauve-7.html?color=6706
Adizero SL2 Men's Running Shoes - Black,https://www.planetsports.asia/adizero-sl2-men-s-running-shoes-black-11.html?color=294
Adizero SL2 Women's Running Shoes - Black,https://www.planetsports.asia/adizero-sl2-women-s-running-shoes-black-7.html?color=294
Adizero SL Men's Running Shoes - Core Black,https://www.planetsports.asia/adidas-adizero-sl-men-s-running-shoes-core-black-10.html?color=294
Adizero Adios 8 Men's Running Shoes - Carbon,https://www.planetsports.asia/adidas-adizero-adios-8-men-s-running-shoes-carbon-9.html?color=294
Adizero Adios 8 Men's Running Shoes - Crystal Jade,https://www.planetsports.asia/adidas-adizero-adios-8-men-s-running-shoes-crystal-jade-9.html?color=157
Adizero Adios 8 Men's Running Shoes - Spark,https://www.planetsports.asia/adidas-adizero-adios-8-men-s-running-shoes-spark-9.html?color=82
Adizero Adios 8 Women's Running Shoes - Ivory,https://www.planetsports.asia/adizero-adios-8-women-s-running-shoes-ivory-7.html?color=149
Adizero SL Men's Running Shoes - Ftwr White,https://www.planetsports.asia/adizero-sl-men-s-running-shoes-ftwr-white-9.html?color=7
Supernova GORE-TEX Men's Running Shoes - Black,https://www.planetsports.asia/supernova-gore-tex-men-s-running-shoes-black-23.html?color=294
Supernova Rise Women's Running Shoes - Turquoise,https://www.planetsports.asia/supernova-rise-women-s-running-shoes-turquoise-7.html?color=55
Supernova Rise Men's Running Shoes - White,https://www.planetsports.asia/supernova-rise-men-s-running-shoes-white-10.html?color=7
Adistar 3 Women's Running Shoes - White,https://www.planetsports.asia/adistar-3-women-s-running-shoes-white-6.html?color=7
Adistar 3 Men's Running Shoes - White,https://www.planetsports.asia/adistar-3-men-s-running-shoes-white-9.html?color=7
Adistar 3 Women's Running Shoes -  Sandy Pink,https://www.planetsports.asia/adistar-3-women-s-running-shoes-sandy-pink-7.html?color=85
Adistar 3 Men's Running Shoes - Ftwr White,https://www.planetsports.asia/adistar-3-men-s-running-shoes-ftwr-white-9.html?color=7
Adistar 3 Women's Running Shoes - Ftwr White,https://www.planetsports.asia/adistar-3-women-s-running-shoes-ftwr-white-7.html?color=7
Adizero Boston 12 Men's Running Shoes - Core Black,https://www.planetsports.asia/promo/avengers/non-maa/adidas-adizero-boston-12-men-s-running-shoes-core-black-16.html?color=294
Adizero Boston 12 Women's Running Shoes - Black,https://www.planetsports.asia/adizero-boston-12-women-s-running-shoes-black-7.html?color=294
Adizero Boston 12 Men's Running Shoes - Black,https://www.planetsports.asia/adizero-boston-12-men-s-running-shoes-black-9.html?color=294
Adizero Boston 12 Men's Running Shoes - Core Black,https://www.planetsports.asia/promo/cny-bogo-50-bogo-30/bogo-30-non-maa/adidas-adizero-boston-12-men-s-running-shoes-core-black-9.html?color=294
Adizero Boston 12 Men's Running Shoes - Ftwr White,https://www.planetsports.asia/promo/cny-bogo-50-bogo-30/bogo-30-non-maa/adidas-adizero-boston-12-men-s-running-shoes-ftwr-white-20.html?color=7
Adizero Adios 8 Mens' Running Shoes - Ftwr White,https://www.planetsports.asia/adizero-adios-8-mens-running-shoes-ftwr-white-9.html?color=7
Adizero SL 2 Men's Running Shoes - Ftwr White,https://www.planetsports.asia/adizero-sl-2-men-s-running-shoes-ftwr-white-10.html?color=7
Adizero SL 2 Women's Running Shoes - Putty Mauve,https://www.planetsports.asia/adizero-sl-2-women-s-running-shoes-putty-mauve-7.html?color=6706
Adizero SL2 Men's Running Shoes - Black,https://www.planetsports.asia/adizero-sl2-men-s-running-shoes-black-11.html?color=294
Adizero SL2 Women's Running Shoes - Black,https://www.planetsports.asia/adizero-sl2-women-s-running-shoes-black-7.html?color=294
Adizero SL Men's Running Shoes - Core Black,https://www.planetsports.asia/adidas-adizero-sl-men-s-running-shoes-core-black-10.html?color=294
Adizero Adios 8 Men's Running Shoes - Carbon,https://www.planetsports.asia/adidas-adizero-adios-8-men-s-running-shoes-carbon-9.html?color=294
Adizero Adios 8 Men's Running Shoes - Crystal Jade,https://www.planetsports.asia/adidas-adizero-adios-8-men-s-running-shoes-crystal-jade-9.html?color=157
Adizero Adios 8 Men's Running Shoes - Spark,https://www.planetsports.asia/adidas-adizero-adios-8-men-s-running-shoes-spark-9.html?color=82
Adizero Adios 8 Women's Running Shoes - Ivory,https://www.planetsports.asia/adizero-adios-8-women-s-running-shoes-ivory-7.html?color=149
Adizero SL Men's Running Shoes - Ftwr White,https://www.planetsports.asia/adizero-sl-men-s-running-shoes-ftwr-white-9.html?color=7
Supernova GORE-TEX Men's Running Shoes - Black,https://www.planetsports.asia/supernova-gore-tex-men-s-running-shoes-black-23.html?color=294
Supernova Rise Women's Running Shoes - Turquoise,https://www.planetsports.asia/supernova-rise-women-s-running-shoes-turquoise-7.html?color=55
Supernova Rise Men's Running Shoes - White,https://www.planetsports.asia/supernova-rise-men-s-running-shoes-white-10.html?color=7
